FIPS5,yr,population
01123,2018,40497
01125,2014,203097
01125,2015,204736
01125,2016,206614
01125,2017,207709
01125,2018,208911
01127,2014,65336
01127,2015,64933
01127,2016,64548
01127,2017,63935
01127,2018,63711
01129,2014,16868
01129,2015,16828
01129,2016,16610
01129,2017,16532
01129,2018,16378
01131,2014,10953
01131,2015,10903
01131,2016,10851
01131,2017,10712
01131,2018,10627
01133,2014,24137
01133,2015,23929
01133,2016,23906
01133,2017,23745
01133,2018,23660
02013,2014,3348
02013,2015,3381
02013,2016,3388
02013,2017,3495
02013,2018,3515
02016,2014,5822
02016,2015,5781
02016,2016,5698
02016,2017,5726
02016,2018,5723
02020,2014,299927
02020,2015,297613
02020,2016,297216
02020,2017,294264
02020,2018,291538
02050,2014,17933
02050,2015,17955
02050,2016,18019
02050,2017,18079
02050,2018,18216
02060,2014,949
02060,2015,905
02060,2016,903
02060,2017,870
02060,2018,877
02068,2014,1915
02068,2015,1927
02068,2016,2039
02068,2017,2066
02068,2018,2059
02070,2014,4983
02070,2015,4987
02070,2016,4970
02070,2017,4935
02070,2018,5000
02090,2014,99256
02090,2015,99630
02090,2016,100683
02090,2017,99725
02090,2018,98971
02100,2014,2555
02100,2015,2516
02100,2016,2527
02100,2017,2518
02100,2018,2474
02105,2014,2103
02105,2015,2137
02105,2016,2128
02105,2017,2139
02105,2018,2151
02110,2014,32476
02110,2015,32601
02110,2016,32400
02110,2017,32061
02110,2018,32113
02122,2014,57565
02122,2015,58029
02122,2016,58452
02122,2017,58522
02122,2018,58533
02130,2014,13801
02130,2015,13706
02130,2016,13714
02130,2017,13882
02130,2018,13918
02150,2014,13904
02150,2015,13766
02150,2016,13710
02150,2017,13519
02150,2018,13345
02164,2014,1645
02164,2015,1592
02164,2016,1598
02164,2017,1607
02164,2018,1587
02170,2014,98104
02170,2015,101068
02170,2016,104157
02170,2017,106383
02170,2018,107610
02180,2014,9803
02180,2015,9885
02180,2016,9961
02180,2017,9968
02180,2018,10008
02185,2014,9769
02185,2015,9795
02185,2016,9718
02185,2017,9831
02185,2018,9872
02188,2014,7771
02188,2015,7771
02188,2016,7689
02188,2017,7767
02188,2018,7671
02195,2014,3265
02195,2015,3259
02195,2016,3270
02195,2017,3259
02195,2018,3221
02198,2014,6460
02198,2015,6505
02198,2016,6516
02198,2017,6469
02198,2018,6422
02220,2014,8839
02220,2015,8778
02220,2016,8738
02220,2017,8686
02220,2018,8647
02230,2014,1053
02230,2015,1087
02230,2016,1132
02230,2017,1162
02230,2018,1148
02240,2014,6922
02240,2015,6804
02240,2016,6849
02240,2017,6885
02240,2018,6918
02261,2014,9475
02261,2015,9322
02261,2016,9318
02261,2017,9224
02261,2018,9164
02270,2014,8098
02270,2015,8187
02270,2016,8174
02270,2017,8230
02270,2018,8303
02275,2014,2447
02275,2015,2459
02275,2016,2501
02275,2017,2511
02275,2018,2503
02282,2014,655
02282,2015,635
02282,2016,613
02282,2017,607
02282,2018,604
02290,2014,5464
02290,2015,5466
02290,2016,5423
02290,2017,5396
02290,2018,5327
04001,2014,71820
04001,2015,71022
04001,2016,71403
04001,2017,71545
04001,2018,71818
04003,2014,127352
04003,2015,126502
04003,2016,125782
04003,2017,124990
04003,2018,126770
04005,2014,137583
04005,2015,139024
04005,2016,140515
04005,2017,141107
04005,2018,142854
04007,2014,53070
04007,2015,53006
04007,2016,53404
04007,2017,53629
04007,2018,53889
04009,2014,38124
04009,2015,37873
04009,2016,37823
04009,2017,37501
04009,2018,38072
04011,2014,9341
04011,2015,9575
04011,2016,9651
04011,2017,9468
04011,2018,9483
04012,2014,20529
04012,2015,20483
04012,2016,20661
04012,2017,20735
04012,2018,21098
04013,2014,4095508
04013,2015,4175049
04013,2016,4258603
04013,2017,4329580
04013,2018,4410824
04015,2014,203474
04015,2015,204661
04015,2016,205521
04015,2017,207114
04015,2018,209550
04017,2014,107724
04017,2015,107688
04017,2016,108523
04017,2017,109144
04017,2018,110445
04019,2014,1004675
04019,2015,1009737
04019,2016,1017624
04019,2017,1027502
04019,2018,1039073
04021,2014,395915
04021,2015,406073
04021,2016,417363
04021,2017,432114
04021,2018,447138
04023,2014,46703
04023,2015,46602
04023,2016,46468
04023,2017,46636
04023,2018,46511
04025,2014,217739
04025,2015,220845
04025,2016,224591
04025,2017,228055
04025,2018,231993
04027,2014,204283
04027,2015,205456
04027,2016,207520
04027,2017,209756
04027,2018,212128
05001,2014,18476
05001,2015,18325
05001,2016,18145
05001,2017,17904
05001,2018,17769
05003,2014,20959
05003,2015,20838
05003,2016,20525
05003,2017,20319
05003,2018,20046
05005,2014,40884
05005,2015,41136
05005,2016,41139
05005,2017,41316
05005,2018,41619
05007,2014,244882
05007,2015,251673
05007,2016,259234
05007,2017,266504
05007,2018,272608
05009,2014,37102
05009,2015,37112
